id,provider_place_id,name,name_aliases,lat,lng,address,area,category,halal_status,price_band,hours_note,operational_status,photo_url,photo_source,photo_source_url,photo_credit,photo_fetched_at,photo_visible,status,notes
golden-city-seafood-restaurant-kopitiam,,Golden City Seafood Restaurant Kopitiam,,,,,Taman Sri Segambut,,unknown,,,operational,,,,,,true,draft,CAPTION USELESS - 'We did not finish the whole thing'. Venue comes 100% from the location tag. Wantan mee.
unnamed-kelapa-laut-stall,,UNNAMED kelapa laut stall,,,,,Seksyen 7 Shah Alam,,unknown,,,operational,,,,,,true,draft,HARD: tag is a RELATIVE DESCRIPTION not a venue name. Unnamed street stall. Shah Alam - outside SPEC 5 areas.
deewow,,DEEWOW,,,,,Kepong,,unknown,,,operational,,,,,,true,draft,Thai food. Celebrity-owned - 'could've used just his face and fame'. Would revisit.
lai-foong-lala-noodle,,Lai Foong Lala Noodle,,,,,,,unknown,,,operational,,,,,,true,draft,Creator calls it one of the best lala noodle in Malaysia. STRONG positive.
kbb-steak,,KBB Steak,,,,,TTDI,,unknown,,,operational,,,,,,true,draft,Wild Ribs Burger. Short strong positive.
ibrahim-pisang-cheese-banjir,,Ibrahim Pisang Cheese Banjir,,,,,Bangi,,unknown,,,operational,,,,,,true,draft,OUT OF SPEC AREA - Bangi not in the 5 KV areas. Pisang cheese banjir.
cake-jalan-tiung,,Cake Jalan Tiung,,,,,,,unknown,,,operational,,,,,,true,draft,HARD CASE 3: venue only in #cakejalantiung. Butter tteok + shiopan. Pattern is consistent for this creator.
makhan-by-kitchen-mafia,,Makhan By Kitchen Mafia,,,,,PJ,,non_halal,,,operational,,,,,,true,draft,"BOTH venue post AND sponsored (Guinness collab). Real visit, real verdict 'pleasant surprise, can try'. Non-halal - serves alcohol. halal_status = non_halal from the venue's own Guinness collab, not a creator claim."
hikiniku-to-come,,Hikiniku to Come,,,,,,,unknown,rm50_plus,,operational,,,,,,true,draft,RM67.90++ set. Opening 15 Aug. 'restaurant is LEGIT'. Venue has own IG. price_band from stated RM67.90++ set price.
klcg-confectionery-bakery,,KLCG Confectionery Bakery,,,,,Kampung Datuk Keramat,,unknown,rm10_25,,operational,,,,,,true,draft,"RICHEST RECORD. Full address in caption. [MUSLIM FRIENDLY] marker. Per-item ratings+prices: Pistachio Supreme 8/10 RM15.90, Strawberry&Creme 7/10 RM15.90, Pain Suisse Hazelnut Praline 10/10 RM16.90. price_band from stated per-item prices. Halal wording is the creator's, NOT verified."
chilli-s,,Chilli's,,,,,Jaya Shopping Centre PJ,,unknown,,,operational,,,,,,true,draft,Fried mozzarella 3pc RM33.60. Chain venue in a mall. price_band left null: only an appetizer price is stated.
meat-heaven-kl,,Meat Heaven KL,,,,,,,unknown,rm50_plus,,operational,,,,,,true,draft,"PURE C2 CASE: no location tag, no venue name in caption. Resolved 100% by @-mention. A5 Miyazaki Wagyu Donburi RM299 promo 400-450g. price_band from stated RM299 donburi."
sweets-by-baby-pop-up-stall,,Sweets by Baby (pop-up stall),,,,,Dataran Karnival Shah Alam,,unknown,,,unknown,,,,,,true,draft,"POP-UP at a food fest, not a permanent venue. Creator warns similar names exist and to waze 'perkarangan stadium shah alam' - he hit the wrong place 3 times himself. operational_status unknown: the fest has ended."
unnamed-claypot-rice-raw-crab-2-outlets,,UNNAMED claypot rice / raw crab (2 outlets),,,,,Subang Jaya + Kepong,,unknown,,,operational,,,,,,true,draft,"MULTI-OUTLET: one post, two addresses. Venue name never given. '(No Pork No Alcohol)' = pork_free signal, creator's words only - so halal_status stays unknown."
