id,creator_id,platform_account_id,place_id,platform,post_url,thumbnail_url,media_kind,content_summary,is_sponsored,is_self_interest,posted_at,ingest_status,excluded_reason,resolved_by,location_tag_kind
post-DcQmvVsJH5q,tomato-ate-it,pa-tomato-ate-it,,instagram,https://www.instagram.com/p/DcQmvVsJH5q/,,post,Shanghai restaurant list + Mastercard/Alipay promo. Outside Klang Valley.,true,false,2026-08-20,excluded,out_of_scope+sponsored,,area
post-DcQUzl6HTxG,jcinthehizzay,pa-jcinthehizzay,,instagram,https://www.instagram.com/p/DcQUzl6HTxG/,,post,Shiopan ranking list but wrapped in a Ryt Bank angpao promo.,true,false,2026-08-20,excluded,sponsored,,none
post-DcVxMOsRCeh,mingchuun,pa-mingchuun,,instagram,https://www.instagram.com/p/DcVxMOsRCeh/,,post,Seat-count business reasoning for his own venues.,false,true,2026-08-22,excluded,self_interest,,none
post-DcQtvIDhGTM,mingchuun,pa-mingchuun,,instagram,https://www.instagram.com/p/DcQtvIDhGTM/,,post,"Gepuklah Friends Month promo. Names 3 partner venues as promo, not recommendation.",false,true,2026-08-20,excluded,self_interest,,none
post-DbLL9KxPC9a,nomnomswithta,pa-nomnomswithta,a-rest,instagram,https://www.instagram.com/p/DbLL9KxPC9a/,,post,Underwhelming vs expectations but would return to work/chill. Honest negative-ish.,false,false,2026-07-24,matched,,C1,venue
post-Dah2dEUvCPm,nomnomswithta,pa-nomnomswithta,555-thainanese-chicken-rice,instagram,https://www.instagram.com/p/Dah2dEUvCPm/,,post,Decent cozy family chicken rice. Venue has IG @555thainanese.,false,false,2026-07-08,matched,,C1,venue
post-DcNwwhGNbfi,jcinthehizzay,pa-jcinthehizzay,gentle-mess,instagram,https://www.instagram.com/p/DcNwwhGNbfi/,,post,HARD CASE 2: venue only in #gentlemess #cafegentlemess. Same pattern as Koppiku.,false,false,2026-08-19,matched,,C5,none
post-DbF8DBFxCMC,mingchuun,pa-mingchuun,,instagram,https://www.instagram.com/p/DbF8DBFxCMC/,,post,"Gepuklah opening countdown, 10 days out.",false,true,2026-07-22,excluded,self_interest,,none
post-DcTaDCKn6Uz,mingchuun,pa-mingchuun,,instagram,https://www.instagram.com/p/DcTaDCKn6Uz/,,post,Day in the life of his own shop. Sold out flex.,false,true,2026-08-21,excluded,self_interest,,none
post-DaU6d2ePsJh,nomnomswithta,pa-nomnomswithta,fujisawa-izakaya,instagram,https://www.instagram.com/p/DaU6d2ePsJh/,,post,Few options at Steppes. Lazy caption but venue fully specified.,false,false,2026-07-03,matched,,C1,venue
post-DR7sW4Pkwl4,jajabinxz,pa-jajabinxz,nale-the-nasi-lemak-company,instagram,https://www.instagram.com/p/DR7sW4Pkwl4/,,post,RM289 indomie platter - creator calls it very pricey. NEGATIVE-ish.,false,false,2025-12-06,matched,,C1,venue
post-DbbBdyrBWz-,jajabinxz,pa-jajabinxz,serdang-midnight-curry-mee-stall,instagram,https://www.instagram.com/p/DbbBdyrBWz-/,,post,STALL. Open till 3am - hours_note. Roadside parking. YTF RM2-2.50/pc. RM69 pricey but yumz.,false,false,2026-07-30,matched,,C1,venue
post-DcLdKZdJPtO,tomato-ate-it,pa-tomato-ate-it,,instagram,https://www.instagram.com/p/DcLdKZdJPtO/,,post,"KFC #CaraOriKFC contest. Home recipe, not a venue.",true,false,2026-08-18,excluded,sponsored,,none
post-DcI4WY6pYU5,tomato-ate-it,pa-tomato-ate-it,,instagram,https://www.instagram.com/p/DcI4WY6pYU5/,,post,Knorr Pasti Sedap seasoning. Home cooking.,true,false,2026-08-17,excluded,sponsored,,none
post-Da-TdbFB0Mk,jajabinxz,pa-jajabinxz,golden-city-seafood-restaurant-kopitiam,instagram,https://www.instagram.com/p/Da-TdbFB0Mk/,,post,CAPTION USELESS - 'We did not finish the whole thing'. Venue comes 100% from the location tag. Wantan mee.,false,false,2026-07-19,matched,,C1,venue
post-Db2iOl0yz-d,jcinthehizzay,pa-jcinthehizzay,unnamed-kelapa-laut-stall,instagram,https://www.instagram.com/p/Db2iOl0yz-d/,,post,HARD: tag is a RELATIVE DESCRIPTION not a venue name. Unnamed street stall. Shah Alam - outside SPEC 5 areas.,false,false,2026-08-10,matched,,C1-weak,relative
post-DbYI_SXB5rq,jajabinxz,pa-jajabinxz,,instagram,https://www.instagram.com/p/DbYI_SXB5rq/,,post,KFC brand post. Same campaign wave as tomato_ate_it DcLdKZdJPtO.,true,false,2026-07-29,excluded,sponsored,,none
post-DcEQiXRpwLJ,tomato-ate-it,pa-tomato-ate-it,,instagram,https://www.instagram.com/p/DcEQiXRpwLJ/,,post,Sabah travel reel. Two emoji caption.,false,false,2026-08-15,excluded,out_of_scope,,area
post-DZxb_0kT8p-,nomnomswithta,pa-nomnomswithta,deewow,instagram,https://www.instagram.com/p/DZxb_0kT8p-/,,post,Thai food. Celebrity-owned - 'could've used just his face and fame'. Would revisit.,false,false,2026-06-19,matched,,C1,venue
post-DZpRvwfT1wc,nomnomswithta,pa-nomnomswithta,lai-foong-lala-noodle,instagram,https://www.instagram.com/p/DZpRvwfT1wc/,,post,Creator calls it one of the best lala noodle in Malaysia. STRONG positive.,false,false,2026-06-16,matched,,C1,venue
post-DZkMwOkhr4A,jajabinxz,pa-jajabinxz,kbb-steak,instagram,https://www.instagram.com/p/DZkMwOkhr4A/,,post,Wild Ribs Burger. Short strong positive.,false,false,2026-06-14,matched,,C1,venue
post-DZ9tqDShgvX,jajabinxz,pa-jajabinxz,ibrahim-pisang-cheese-banjir,instagram,https://www.instagram.com/p/DZ9tqDShgvX/,,post,OUT OF SPEC AREA - Bangi not in the 5 KV areas. Pisang cheese banjir.,false,false,2026-06-24,matched,,C1,venue
post-DbsLyErN89G,jcinthehizzay,pa-jcinthehizzay,cake-jalan-tiung,instagram,https://www.instagram.com/p/DbsLyErN89G/,,post,HARD CASE 3: venue only in #cakejalantiung. Butter tteok + shiopan. Pattern is consistent for this creator.,false,false,2026-08-06,matched,,C5,none
post-DcD8ZfzEV5y,tomato-ate-it,pa-tomato-ate-it,,instagram,https://www.instagram.com/p/DcD8ZfzEV5y/,,post,Bought a car. Contains a third-party phone number - NOT stored per PDPA.,false,false,2026-08-15,excluded,personal,,area
post-DZgbHQCz3XT,nomnomswithta,pa-nomnomswithta,makhan-by-kitchen-mafia,instagram,https://www.instagram.com/p/DZgbHQCz3XT/,,post,"BOTH venue post AND sponsored (Guinness collab). Real visit, real verdict 'pleasant surprise, can try'. Non-halal - serves alcohol.",true,false,2026-06-12,matched,,C1,venue
post-Db8AcNspred,tomato-ate-it,pa-tomato-ate-it,hikiniku-to-come,instagram,https://www.instagram.com/p/Db8AcNspred/,,post,RM67.90++ set. Opening 15 Aug. 'restaurant is LEGIT'. Venue has own IG.,false,false,2026-08-12,matched,,C1+C2,venue
post-Db7CpvqyWin,jcinthehizzay,pa-jcinthehizzay,,instagram,https://www.instagram.com/p/Db7CpvqyWin/,,post,DJI Osmo 360 camera ad. Roller coaster. Not food at all.,true,false,2026-08-11,excluded,sponsored,,none
post-DCGmwv-pjuF,tomato-ate-it,pa-tomato-ate-it,klcg-confectionery-bakery,instagram,https://www.instagram.com/p/DCGmwv-pjuF/,,post,"RICHEST RECORD. Full address in caption. [MUSLIM FRIENDLY] marker. Per-item ratings+prices: Pistachio Supreme 8/10 RM15.90, Strawberry&Creme 7/10 RM15.90, Pain Suisse Hazelnut Praline 10/10 RM16.90. Overall 9/10. Long queue but good system, designated parking with guides.",false,false,2024-11-08,matched,,C1+C2+C3,venue
post-DMlcZFxTwnR,jajabinxz,pa-jajabinxz,chilli-s,instagram,https://www.instagram.com/p/DMlcZFxTwnR/,,post,Fried mozzarella 3pc RM33.60. Chain venue in a mall.,false,false,2025-07-26,matched,,C1,venue
post-DGFvN1KJOMg,tomato-ate-it,pa-tomato-ate-it,,instagram,https://www.instagram.com/p/DGFvN1KJOMg/,,post,"Farmstay/staycation, not a makan venue. Tag and mention both clean though.",false,false,2025-02-15,excluded,not_a_restaurant,,venue
post-Db_BqllH6qZ,mingchuun,pa-mingchuun,,instagram,https://www.instagram.com/p/Db_BqllH6qZ/,,post,'we are open tomorrow!!!' - his own shop.,false,true,2026-08-13,excluded,self_interest,,none
post-Db-tKyKNZtM,mingchuun,pa-mingchuun,,instagram,https://www.instagram.com/p/Db-tKyKNZtM/,,post,Gepuklah 5th Update + Eclipse gum partnership. Self-interest AND sponsored.,true,true,2026-08-13,excluded,self_interest,,none
post-DBtDrv3p3qv,tomato-ate-it,pa-tomato-ate-it,meat-heaven-kl,instagram,https://www.instagram.com/p/DBtDrv3p3qv/,,post,"PURE C2 CASE: no location tag, no venue name in caption. Resolved 100% by @-mention. A5 Miyazaki Wagyu Donburi RM299 promo 400-450g.",false,false,2024-10-29,matched,,C2,none
post-DckPSrwSWNx,jcinthehizzay,pa-jcinthehizzay,sweets-by-baby-pop-up-stall,instagram,https://www.instagram.com/p/DckPSrwSWNx/,,post,"POP-UP at a food fest, not a permanent venue. Creator warns similar names exist and to waze 'perkarangan stadium shah alam' - he hit the wrong place 3 times himself.",false,false,2026-08-27,matched,,C5,event
post-DQqz0_ggVMs,jajabinxz,pa-jajabinxz,unnamed-claypot-rice-raw-crab-2-outlets,instagram,https://www.instagram.com/p/DQqz0_ggVMs/,,post,"MULTI-OUTLET: one post, two addresses. Venue name never given. '(No Pork No Alcohol)' = pork_free signal, creator's words only.",false,false,2025-11-05,matched,,C1,venue
