handle,shortcode,posted_at,media_type,location_tag,tag_is,venue_mentions,venue_named_in_caption,is_venue_post,is_sponsored,exclude_reason,resolvable_by,venue_name,area,note
jajabinxz,Da-TdbFB0Mk,2026-07-19,reel,"Golden City Seafood Restaurant Kopitiam - Taman Sri Segambut, KL",venue,,no,yes,no,,C1,Golden City Seafood Restaurant Kopitiam,Taman Sri Segambut,CAPTION USELESS - 'We did not finish the whole thing'. Venue comes 100% from the location tag. Wantan mee.
jcinthehizzay,Db2iOl0yz-d,2026-08-10,reel,"Same lane as Roti Jane, Seksyen 7",relative,,no,yes,no,,C1-weak,UNNAMED kelapa laut stall,Seksyen 7 Shah Alam,HARD: tag is a RELATIVE DESCRIPTION not a venue name. Unnamed street stall. Shah Alam - outside SPEC 5 areas.
jajabinxz,DbYI_SXB5rq,2026-07-29,reel,,none,@kfcmalaysia,no,no,yes,sponsored,,,,KFC brand post. Same campaign wave as tomato_ate_it DcLdKZdJPtO.
tomato_ate_it,DcEQiXRpwLJ,2026-08-15,reel,Kota Kinabalu,area,,no,no,no,out_of_scope,,,,Sabah travel reel. Two emoji caption.
nomnomswithta,DZxb_0kT8p-,2026-06-19,reel,"DEEWOW restaurant, Kepong",venue,,yes,yes,no,,C1,DEEWOW,Kepong,Thai food. Celebrity-owned - 'could've used just his face and fame'. Would revisit.
nomnomswithta,DZpRvwfT1wc,2026-06-16,reel,Lai Foong Lala Noodle,venue,,yes,yes,no,,C1,Lai Foong Lala Noodle,,Creator calls it one of the best lala noodle in Malaysia. STRONG positive.
jajabinxz,DZkMwOkhr4A,2026-06-14,reel,KBB Steak - TTDI,venue,,yes,yes,no,,C1,KBB Steak,TTDI,Wild Ribs Burger. Short strong positive.
jajabinxz,DZ9tqDShgvX,2026-06-24,reel,Ibrahim Pisang Cheese Banjir @ Bangi,venue,,yes,yes,no,,C1,Ibrahim Pisang Cheese Banjir,Bangi,OUT OF SPEC AREA - Bangi not in the 5 KV areas. Pisang cheese banjir.
jcinthehizzay,DbsLyErN89G,2026-08-06,reel,,none,,hashtag only,yes,no,,C5,Cake Jalan Tiung,,HARD CASE 3: venue only in #cakejalantiung. Butter tteok + shiopan. Pattern is consistent for this creator.
tomato_ate_it,DcD8ZfzEV5y,2026-08-15,photo,Kuala Lumpur,area,,no,no,no,personal,,,,Bought a car. Contains a third-party phone number - NOT stored per PDPA.
nomnomswithta,DZgbHQCz3XT,2026-06-12,reel,Makhan By Kitchen Mafia,venue,@guinnessmy,yes,yes,yes,,C1,Makhan By Kitchen Mafia,PJ,"BOTH venue post AND sponsored (Guinness collab). Real visit, real verdict 'pleasant surprise, can try'. Non-halal - serves alcohol."
tomato_ate_it,Db8AcNspred,2026-08-12,reel,Hikiniku to Come (G1.111 Ground Floor),venue,@hikiniku.to.come_myofficial,yes,yes,no,,C1+C2,Hikiniku to Come,,RM67.90++ set. Opening 15 Aug. 'restaurant is LEGIT'. Venue has own IG.
jcinthehizzay,Db7CpvqyWin,2026-08-11,reel,,none,@dji.malaysia,no,no,yes,sponsored,,,,DJI Osmo 360 camera ad. Roller coaster. Not food at all.
tomato_ate_it,DCGmwv-pjuF,2024-11-08,reel,"204A Jalan Ampang, Kampung Datuk Keramat, 50450 Kuala Lumpur",venue,@klcgconfectionerybakery,yes,yes,no,,C1+C2+C3,KLCG Confectionery Bakery,Kampung Datuk Keramat,"RICHEST RECORD. Full address in caption. [MUSLIM FRIENDLY] marker. Per-item ratings+prices: Pistachio Supreme 8/10 RM15.90, Strawberry&Creme 7/10 RM15.90, Pain Suisse Hazelnut Praline 10/10 RM16.90. Overall 9/10. Long queue but good system, designated parking with guides."
jajabinxz,DMlcZFxTwnR,2025-07-26,reel,Chilli's at Jaya Shopping Centre,venue,,yes,yes,no,,C1,Chilli's,Jaya Shopping Centre PJ,Fried mozzarella 3pc RM33.60. Chain venue in a mall.
tomato_ate_it,DGFvN1KJOMg,2025-02-15,reel,Song Yan Eco Leisure Farm,venue,@songyan_ecoleisurefarm,yes,no,no,not_a_restaurant,,,,"Farmstay/staycation, not a makan venue. Tag and mention both clean though."
mingchuun,Db_BqllH6qZ,2026-08-13,photo,,none,,no,no,no,self_interest,,,,'we are open tomorrow!!!' - his own shop.
mingchuun,Db-tKyKNZtM,2026-08-13,reel,,none,@gepuklah.my,no,no,yes,self_interest,,,,Gepuklah 5th Update + Eclipse gum partnership. Self-interest AND sponsored.
tomato_ate_it,DBtDrv3p3qv,2024-10-29,reel,,none,@meatheavenkl,no,yes,no,,C2,Meat Heaven KL,,"PURE C2 CASE: no location tag, no venue name in caption. Resolved 100% by @-mention. A5 Miyazaki Wagyu Donburi RM299 promo 400-450g."
jcinthehizzay,DckPSrwSWNx,2026-08-27,reel,Havoc Dataran Karnival Shah Alam,event,,hashtag only,yes,no,,C5,Sweets by Baby (pop-up stall),Dataran Karnival Shah Alam,"POP-UP at a food fest, not a permanent venue. Creator warns similar names exist and to waze 'perkarangan stadium shah alam' - he hit the wrong place 3 times himself."
jajabinxz,DQqz0_ggVMs,2025-11-05,reel,21 Jalan SS19/6C Subang Jaya | 11 Jalan 15 Taman Desa Jaya Kepong,venue,,no,yes,no,,C1,UNNAMED claypot rice / raw crab (2 outlets),Subang Jaya + Kepong,"MULTI-OUTLET: one post, two addresses. Venue name never given. '(No Pork No Alcohol)' = pork_free signal, creator's words only."
